Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Annual
1900 50 58 48 77 93 94 99 98 91 90 68 55 99
1901 44 40 52 84 80 99 98 89 91 78 63 63 99
1902 51 49 62 87 90 88 92 86 86 72 65 50 92
1903 43 63 74 86 93 86 95 85 89 73 71 50 95
1904 48 46 60 70 85 94 97 89 84 73 57 49 97
1905 52 41 79 74 84 87 96 89 88 83 59 57 96
1906 64 52 49 75 93 88 89 91 90 76 58 48 93
1907 50 40 76 73 87 92 92 95 86 74 61 55 95
1908 50 54 65 82 86 89 93 93 87 84 60 62 93
1909 53 51 51 86 81 94 91 95 85 79 68 45 95
1910 52 48 76 77 85 91 96 86 84 83 60 47 96
1911 52 50 56 84 97 87 104 95 90 70 65 60 104
1912 43 50 58 76 85 89 98 88 83 78 66 64 98
1913 61 49 70 85 89 93 99 97 89 82 68 55 99
1914 50 45 61 85 94 92 90 93 92 82 71 62 94
1915 56 54 54 91 77 85 91 89 92 73 70 46 92
1916 56 51 59 76 85 81 95 98 86 77 64 54 98
1917 48 45 59 75 77 86 99 98 82 71 57 42 99
1918 47 52 69 74 85 94 99 102 82 78 63 53 102
1919 56 50 65 73 86 97 99 88 92 82 68 50 99
1920 42 43 65 69 85 90 88 88 89 81 58 60 90
1921 53 52 78 82 92 94 96 94 94 75 71 60 96
1922 46 51 73 86 85 89 93 94 85 88 59 60 94
1923 46 40 61 89 89 96 94 93 85 72 62 58 96
1924 57 39 56 71 75 89 91 93 86 76 72 60 93
1925 41 57 69 81 80 97 95 91 87 75 62 54 97
1926 45 44 54 77 81 89 102 90 86 83 68 41 102
1927 44 49 70 79 77 92 92 83 84 90 70 64 92
1928 51 51 68 82 84 85 95 92 88 85 73 56 95
1929 62 54 64 88 92 93 99 88 97 75 67 47 99
1930 57 66 59 76 92 96 101 95 86 81 65 50 101
1931 45 46 57 80 93 95 97 96 98 82 72 55 98
1932 71 55 53 77 91 88 91 92 91 80 58 63 92
1933 56 57 57 79 87 100 100 101 83 72 67 47 101
1934 50 42 58 75 89 94 94 89 85 75 65 67 94
1935 50 49 68 86 86 87 96 91 81 75 74 51 96
1936 45 46 73 78 91 89 103 97 87 78 72 56 103
1937 55 55 58 72 92 93 98 97 91 81 65 46 98
1938 61 50 80 92 80 97 92 95 83 82 75 52 97
1939 53 58 60 80 86 91 97 93 92 89 59 48 97
1940 40 40 58 76 85 91 94 91 82 74 65 48 94
1941 40 42 49 93 92 97 97 91 91 91 69 57 97
1942 53 42 64 83 87 90 96 90 90 74 64 42 96
1943 42 56 66 70 84 97 91 95 88 77 64 45 97
1944 48 47 62 72 91 96 96 99 89 82 66 44 99
1945 46 43 85 85 85 92 90 91 96 79 65 44 96
1946 54 63 85 80 85 94 93 88 90 86 66 62 94
1947 53 42 54 78 88 94 92 99 94 88 61 49 99
1948 38 49 70 76 83 89 94 98 92 76 72 51 98
1949 56 59 73 80 90 94 98 96 84 86 65 59 98
1950 64 43 68 79 85 92 91 88 84 83 82 59 92
1951 53 49 64 70 89 88 90 89 86 84 63 61 90
1952 45 48 63 79 80 99 97 95 90 73 68 61 99
1953 52 61 68 76 89 97 100 98 100 81 68 55 100
1954 48 55 61 85 81 95 95 90 86 85 63 52 95
1955 41 53 62 77 87 92 98 99 85 79 59 43 99
1956 45 51 49 76 84 95 90 92 88 81 76 56 95
1957 55 62 65 89 86 97 95 93 88 74 66 61 97
1958 46 45 58 81 84 87 94 91 88 82 60 39 94
1959 58 46 65 77 90 94 96 96 94 80 69 49 96
1960 43 54 65 82 84 89 91 92 89 76 59 53 92
1961 45 55 73 68 87 91 93 90 91 79 67 50 93
1962 51 47 79 91 94 91 95 90 88 80 62 54 95
1963 44 44 70 70 84 92 97 87 82 89 63 49 97
1964 50 43 71 75 93 98 97 91 88 78 69 62 98
1965 46 49 55 74 91 96 94 93 91 80 62 60 96
1966 57 54 65 69 85 93 98 89 86 76 70 64 98
1967 53 53 60 71 81 96 88 89 85 83 64 52 96
1968 41 46 77 83 79 98 96 93 85 84 71 48 98
1969 42 44 61 84 89 92 93 92 91 79 62 57 93
1970 43 47 57 88 92 90 91 93 91 79 65 65 93
1971 43 51 51 77 87 91 88 88 86 82 75 55 91
1972 52 52 59 80 85 83 91 87 86 74 58 52 91
1973 59 49 69 86 79 92 97 93 93 76 70 61 97
1974 62 57 63 84 88 92 92 88 86 78 77 56 92
1975 57 52 59 69 88 91 91 97 81 82 75 59 97
1976 53 67 73 92 82 91 89 90 85 74 62 46 92
1977 40 52 85 87 89 86 96 92 85 72 73 50 96
1978 59 36 55 73 89 88 95 92 88 74 69 53 95
1979 55 44 71 77 93 90 95 90 86 86 69 62 95
1980 55 46 63 73 90 91 94 90 90 79 62 58 94
